"trans_id","lang","translation"
"ふれあいセンター前","ja-Hrkt","フレアイセンターマエ"
"ほっとステーション前","en","Hotto Station Mae"
"ほっとステーション前","ja","ほっとステーション前"
"ほっとステーション前","ja-Hrkt","ホットステーションマエ"
"ほっと館入口","en","Hottokan Iriguchi"
"ほっと館入口","ja","ほっと館入口"
"ほっと館入口","ja-Hrkt","ホットカンイリグチ"
"ほんどの森","en","Hondonomori"
"ほんどの森","ja","ほんどの森"
"ほんどの森","ja-Hrkt","ホンドノモリ"
"ましき野","en","Mashikino"
"ましき野","ja","ましき野"
"ましき野","ja-Hrkt","マシキノ"
"みかどホテル","en","Mikado Hotel"
"みかどホテル","ja","みかどホテル"
"みかどホテル","ja-Hrkt","ミカドホテル"
"みずき台","en","Mizukidai"
"みずき台","ja","みずき台"
"みずき台","ja-Hrkt","ミズキダイ"
"みつばち牧場","en","Mitsubachi Bokujo"
"みつばち牧場","ja","みつばち牧場"
"みつばち牧場","ja-Hrkt","ミツバチボクジョウ"
"みどり区","en","Midoriku"
"みどり区","ja","みどり区"
"みどり区","ja-Hrkt","ミドリク"
"みやじま幼稚園前","en","Miyajima Yochien Mae"
"みやじま幼稚園前","ja","みやじま幼稚園前"
"みやじま幼稚園前","ja-Hrkt","ミヤジマヨウチエンマエ"
"みやはら内牧店","en","Miyaharautinomakiten"
"みやはら内牧店","ja","みやはら内牧店"
"みやはら内牧店","ja-Hrkt","ミヤハラウチノマキテン"
"みらい館前","en","Miraikan Mae"
"みらい館前","ja","みらい館前"
"みらい館前","ja-Hrkt","ミライカンマエ"
"めぐり渕","en","Meguribuchi"
"めぐり渕","ja","めぐり渕"
"めぐり渕","ja-Hrkt","メグリブチ"
"もみの木美容室前","en","Mominoki Biyoshitsu Mae"
"もみの木美容室前","ja","もみの木美容室前"
"もみの木美容室前","ja-Hrkt","モミノキビヨウシツマエ"
"もみ木橋","en","Momiki Bashi"
"もみ木橋","ja","もみ木橋"
"もみ木橋","ja-Hrkt","モミキバシ"
"やいらぎダム入口","en","Yairagi Dam Iriguchi"
"やいらぎダム入口","ja","やいらぎダム入口"
"やいらぎダム入口","ja-Hrkt","ヤイラギダムイリグチ"
"やつしろハーモニーホール北口","en","Yatsushiro Harmonyhall Kitaguchi"
"やつしろハーモニーホール北口","ja","やつしろハーモニーホール北口"
"やつしろハーモニーホール北口","ja-Hrkt","ヤツシロハーモニーホールキタグチ"
"やつしろハーモニーホール正面玄関前","en","Yatsushiro Harmonyhall Shomengen"
"やつしろハーモニーホール正面玄関前","ja","やつしろハーモニーホール正面玄関前"
"やつしろハーモニーホール正面玄関前","ja-Hrkt","ヤツシロハーモニーホールショウメンゲン"
"ゆうステーション","en","Yu-Station"
"ゆうステーション","ja","ゆうステーション"
"ゆうステーション","ja-Hrkt","ユウステーション"
"ゆふいん道の駅","en","Yufuin Michinoeki"
"ゆふいん道の駅","ja","ゆふいん道の駅"
"ゆふいん道の駅","ja-Hrkt","ユフインミチノエキ"
"ゆめひろば前","en","Youme Hiroba Mae"
"ゆめひろば前","ja","ゆめひろば前"
"ゆめひろば前","ja-Hrkt","ユメヒロバマエ"
"ゆめタウンサンピアン前","en","Youme Town Sanpian Mae"
"ゆめタウンサンピアン前","ja","ゆめタウンサンピアン前"
"ゆめタウンサンピアン前","ja-Hrkt","ユメタウンサンピアンマエ"
"ゆめタウンシティモール","en","youme town City Mall"
"ゆめタウンシティモール","ja","ゆめタウンシティモール"
"ゆめタウンシティモール","ja-Hrkt","ユメタウンシティモール"
"ゆめタウン光の森","en","Youme Town Hikarinomori"
"ゆめタウン光の森","ja","ゆめタウン光の森"
"ゆめタウン光の森","ja-Hrkt","ユメタウンヒカリノモリ"
"ゆめタウン（八代）","en","Youme Town"
"ゆめタウン（八代）","ja","ゆめタウン（八代）"
"ゆめタウン（八代）","ja-Hrkt","ユメタウン"
"ゆめマート前（松島）","en","Youme Mart Mae"
"ゆめマート前（松島）","ja","ゆめマート前（松島）"
"ゆめマート前（松島）","ja-Hrkt","ユメマートマエ"
"ゆめマート玉名前","en","Youme Mart Tamana Mae"
"ゆめマート玉名前","ja","ゆめマート玉名前"
"ゆめマート玉名前","ja-Hrkt","ユメマートタマナマエ"
"らくだ山公園入口","en","Rakudayama Koen Iriguchi"
"らくだ山公園入口","ja","らくだ山公園入口"
"らくだ山公園入口","ja-Hrkt","ラクダヤマコウエンイリグチ"
"わいた温泉郷湯けむり茶屋","en","Waitaonsengo Ukemurichaya"
"わいた温泉郷湯けむり茶屋","ja","わいた温泉郷湯けむり茶屋"
"わいた温泉郷湯けむり茶屋","ja-Hrkt","ワイタオンセンゴウユケムリチャヤ"
"アクアドーム","en","Aqua Dome"
"アクアドーム","ja","アクアドーム"
"アクアドーム","ja-Hrkt","アクアドーム"
"アスカ","en","Asuka"
"アスカ","ja","アスカ"
"アスカ","ja-Hrkt","アスカ"
"アンビー熊本","en","AMB Kumamoto"
"アンビー熊本","ja","アンビー熊本"
"アンビー熊本","ja-Hrkt","アンビークマモト"
"アーデンホテル阿蘇","en","Arden Hotel Aso"
"アーデンホテル阿蘇","ja","アーデンホテル阿蘇"
"アーデンホテル阿蘇","ja-Hrkt","アーデンホテルアソ"
"イエローハット前","en","Yellow Hat Mae"
"イエローハット前","ja","イエローハット前"
"イエローハット前","ja-Hrkt","イエローハットマエ"
"イオンタウン","en","Aeon Town"
"イオンタウン","ja","イオンタウン"
"イオンタウン","ja-Hrkt","イオンタウン"
"イオンモール宇城","en","Aeon Mall Uki"
"イオンモール宇城","ja","イオンモール宇城"
"イオンモール宇城","ja-Hrkt","イオンモールウキ"
"イオンモール熊本","en","Aeon Mall Kumamoto"
"イオンモール熊本","ja","イオンモール熊本"
"イオンモール熊本","ja-Hrkt","イオンモールクマモト"
"イオン八代ショッピングセンター","en","Aeon Yatsushiro Shopping Center"
"イオン八代ショッピングセンター","ja","イオン八代ショッピングセンター"
"イオン八代ショッピングセンター","ja-Hrkt","イオンヤツシロショッピングセンター"
"イオン大津店","en","Aeon Ozuten"
"イオン大津店","ja","イオン大津店"
"イオン大津店","ja-Hrkt","イオンオオヅテン"
"イオン天草ショッピングセンター","en","Aeon Amakusa Shopping Center"
"イオン天草ショッピングセンター","ja","イオン天草ショッピングセンター"
"イオン天草ショッピングセンター","ja-Hrkt","イオンアマクサショッピングセンターマエ"
"イルカセンター","en","Iruka Center"
"イルカセンター","ja","イルカセンター"
"イルカセンター","ja-Hrkt","イルカセンター"
"インターチェンジ前","en","I.C. Mae"
"インターチェンジ前","ja","インターチェンジ前"
"インターチェンジ前","ja-Hrkt","インターチェンジマエ"
"ウインズ八代","en","Winds Yatsushiro"
"ウインズ八代","ja","ウインズ八代"
"ウインズ八代","ja-Hrkt","ウインズヤツシロ"
"エコパークナーサリー前","en","T.B.D."
"エコパークナーサリー前","ja","エコパークナーサリー前"
"エコパークナーサリー前","ja-Hrkt","エコパークナーサリーマエ"
"エコパーク道の駅みなまた","en","Eco Park Michinoeki Minamata"
"エコパーク道の駅みなまた","ja","エコパーク道の駅みなまた"
"エコパーク道の駅みなまた","ja-Hrkt","エコパークミチノエキミナマタ"
"オリエント桜山","en","Orient Sakurayama"
"オリエント桜山","ja","オリエント桜山"
"オリエント桜山","ja-Hrkt","オリエントサクラヤマ"
"カドリー・ドミニオン前","en","Cuddly・Dominion Mae"
"カドリー・ドミニオン前","ja","カドリー・ドミニオン前"
"カドリー・ドミニオン前","ja-Hrkt","カドリー･ドミニオンマエ"
"カフェくるみ前","en","Café Kurumi Mae"
"カフェくるみ前","ja","カフェくるみ前"
"カフェくるみ前","ja-Hrkt","カフェクルミマエ"
"カリーノ宮崎前","en","Carino Miyazaki Mae"
"カリーノ宮崎前","ja","カリーノ宮崎前"
"カリーノ宮崎前","ja-Hrkt","カリーノミヤザキマエ"
"カリーノ菊陽（菊陽循環）","en","Karino kikuyo"
"カリーノ菊陽（菊陽循環）","ja","カリーノ菊陽（菊陽循環）"
"カリーノ菊陽（菊陽循環）","ja-Hrkt","カリーノキクヨウ"
"カルチャーパレス前","en","Culture Palace Mae"
"カルチャーパレス前","ja","カルチャーパレス前"
"カルチャーパレス前","ja-Hrkt","カルチャーパレスマエ"
"ガス会社前","en","Gas Gaisha Mae"
"ガス会社前","ja","ガス会社前"
"ガス会社前","ja-Hrkt","ガスガイシャマエ"
"キャロッピア（広場北）","en","Carroppia"
"キャロッピア（広場北）","ja","キャロッピア（広場北）"
"キャロッピア（広場北）","ja-Hrkt","キャロッピア"
"キャロッピア（建物前）","en","Carroppia"
"キャロッピア（建物前）","ja","キャロッピア（建物前）"
"キャロッピア（建物前）","ja-Hrkt","キャロッピア"
"キャンプ村入口","en","Camp Village Iriguchi"
"キャンプ村入口","ja","キャンプ村入口"
"キャンプ村入口","ja-Hrkt","キャンプムライリグチ"
"クラブ前","en","Club Mae"
"クラブ前","ja","クラブ前"
"クラブ前","ja-Hrkt","クラブマエ"
"クロス21UTO前","en","Cross21Uto Mae"
"クロス21UTO前","ja","クロス21UTO前"
"クロス21UTO前","ja-Hrkt","クロスニジュウイチウトマエ"
"グラウンド入口","en","Ground Iriguchi"
"グラウンド入口","ja","グラウンド入口"
"グラウンド入口","ja-Hrkt","グラウンドイリグチ"
"グランド前","en","Ground Mae"
"グランド前","ja","グランド前"
"グランド前","ja-Hrkt","グランドマエ"
"グランド北入口","en","Ground Kitairiguchi"
"グランド北入口","ja","グランド北入口"
"グランド北入口","ja-Hrkt","グランドキタイリグチ"
"グランメッセ前","en","Grandmesse Mae"
"グランメッセ前","ja","グランメッセ前"
"グランメッセ前","ja-Hrkt","グランメッセマエ"
"グリーンスポーツ前","en","Greensportmae"
"グリーンスポーツ前","ja","グリーンスポーツ前"
"グリーンスポーツ前","ja-Hrkt","グリーンスポーツマエ"
"グリーンランド北口前","en","Greenland Kitaguchi Mae"
"グリーンランド北口前","ja","グリーンランド北口前"
"グリーンランド北口前","ja-Hrkt","グリーンランドキタグチマエ"
"グリーンランド正門前","en","Greenland Seimon Mae"
"グリーンランド正門前","ja","グリーンランド正門前"
"グリーンランド正門前","ja-Hrkt","グリーンランドセイモンマエ"
"ココウォーク茂里町","en","Koko Walk"
"ココウォーク茂里町","ja","ココウォーク茂里町"
"ココウォーク茂里町","ja-Hrkt","ココウォーク"
"コーボーテキスタイル入口","en","Cobo-Textiles Iriguchi"
"コーボーテキスタイル入口","ja","コーボーテキスタイル入口"
"コーボーテキスタイル入口","ja-Hrkt","コーボーテキスタイルイリグチ"
"ゴルフ場前","en","Golfjo Mae"
"ゴルフ場前","ja","ゴルフ場前"
"ゴルフ場前","ja-Hrkt","ゴルフジョウマエ"
"ゴルフ場前（産山）","en","Golfjo Mae"
"ゴルフ場前（産山）","ja","ゴルフ場前（産山）"
"ゴルフ場前（産山）","ja-Hrkt","ゴルフジョウマエ"
"サテライト八代","en","Satellite Yatsushiro"
"サテライト八代","ja","サテライト八代"
"サテライト八代","ja-Hrkt","サテライトヤツシロ"
"サンセットコースト","en","Sunset Coast"
"サンセットコースト","ja","サンセットコースト"
"サンセットコースト","ja-Hrkt","サンセットコースト"
"ショッピングセンター前","en","Shopping Center Mae"
"ショッピングセンター前","ja","ショッピングセンター前"
"ショッピングセンター前","ja-Hrkt","ショッピングセンターマエ"
"ショッピングプラザ宇土前","en","Shopping Plaza Uto Mae"
"ショッピングプラザ宇土前","ja","ショッピングプラザ宇土前"
"ショッピングプラザ宇土前","ja-Hrkt","ショッピングプラザウトマエ"
"シルバー人材センター入口","en","Silver Jinzai Center Iriguchi"
"シルバー人材センター入口","ja","シルバー人材センター入口"
"シルバー人材センター入口","ja-Hrkt","シルバージンザイセンターイリグチ"
"シープル前","en","Shipuru Mae"
"シープル前","ja","シープル前"
"シープル前","ja-Hrkt","シープルマエ"
"スパタラソ","en","Supataraso"
"スパタラソ","ja","スパタラソ"
"スパタラソ","ja-Hrkt","スパタラソ"
"スポーツ公園前","en","Sports Koen Mae(Sports Park)"
"スポーツ公園前","ja","スポーツ公園前"
"スポーツ公園前","ja-Hrkt","スポーツコウエンマエ"
"セイラタウン北","en","Seira Town Kita"
"セイラタウン北","ja","セイラタウン北"
"セイラタウン北","ja-Hrkt","セイラタウンキタ"
"セイラタウン南","en","Seira Town Minami"
"セイラタウン南","ja","セイラタウン南"
"セイラタウン南","ja-Hrkt","セイラタウンミナミ"
"セントラル病院前","en","Central Byoin Mae(Central Hospital)"
"セントラル病院前","ja","セントラル病院前"
"セントラル病院前","ja-Hrkt","セントラルビョウインマエ"
"ソニーセミコンダクタ前","en","Sony Semiconductor Mae"
"ソニーセミコンダクタ前","ja","ソニーセミコンダクタ前"
"ソニーセミコンダクタ前","ja-Hrkt","ソニーセミコンダクタマエ"
"ダムサイト","en","Dam Saito"
"ダムサイト","ja","ダムサイト"
"ダムサイト","ja-Hrkt","ダムサイト"
"ダム前","en","Dam Mae"
"ダム前","ja","ダム前"
"ダム前","ja-Hrkt","ダムマエ"
"テクノポリスセンター（空港）","en","Techno Porisu Center"
"テクノポリスセンター（空港）","ja","テクノポリスセンター（空港）"
"テクノポリスセンター（空港）","ja-Hrkt","テクノポリスセンター"
"テクノリサーチパーク","en","Techno Research Park"
"テクノリサーチパーク","ja","テクノリサーチパーク"
"テクノリサーチパーク","ja-Hrkt","テクノリサーチパーク"
"テクノリサーチパーク入口（空港）","en","Techno Research Park Iriguchi"
"テクノリサーチパーク入口（空港）","ja","テクノリサーチパーク入口（空港）"
"テクノリサーチパーク入口（空港）","ja-Hrkt","テクノリサーチパークイリグチ"
"テクノ団地入口","en","Techno Danchi Iriguchi"
"テクノ団地入口","ja","テクノ団地入口"
"テクノ団地入口","ja-Hrkt","テクノダンチイリグチ"
"テクノ団地東","en","Techno Danchi Higashi"
"テクノ団地東","ja","テクノ団地東"
"テクノ団地東","ja-Hrkt","テクノダンチヒガシ"
"テクノ団地西","en","Techno Danchi Nishi"
"テクノ団地西","ja","テクノ団地西"
"テクノ団地西","ja-Hrkt","テクノダンチニシ"
"テニスコート前（供合線）","en","Tennis Court Mae"
"テニスコート前（供合線）","ja","テニスコート前（供合線）"
"テニスコート前（供合線）","ja-Hrkt","テニスコートマエ"
"テニスコート前（城山）","en","Tennis Court Mae"
"テニスコート前（城山）","ja","テニスコート前（城山）"
"テニスコート前（城山）","ja-Hrkt","テニスコートマエ"
"トライアル前","en","Trial Mae"
"トライアル前","ja","トライアル前"
"トライアル前","ja-Hrkt","トライアルマエ"
"トラックターミナル","en","Truck Terminal"
"トラックターミナル","ja","トラックターミナル"
"トラックターミナル","ja-Hrkt","トラックターミナル"
"トラックターミナル前","en","Truck Terminal Mae"
"トラックターミナル前","ja","トラックターミナル前"
"トラックターミナル前","ja-Hrkt","トラックターミナルマエ"
"トーマス農園前","en","Tomasu Nouenmae"
"トーマス農園前","ja","トーマス農園前"
"トーマス農園前","ja-Hrkt","トーマスノウエンマエ"
"ナショナルパークインフォメーションセンター","en","National Park Information Center"
"ナショナルパークインフォメーションセンター","ja","ナショナルパークインフォメーションセンター"
"ナショナルパークインフォメーションセンター","ja-Hrkt","ナショナルパークインフォメーションセンター"
"ナフコ前","en","Nafco Mae"
"ナフコ前","ja","ナフコ前"
"ナフコ前","ja-Hrkt","ナフコマエ"
"ニシムタ前","en","Nishimuta Mae"
"ニシムタ前","ja","ニシムタ前"
"ニシムタ前","ja-Hrkt","ニシムタマエ"
"ニュータウン入口","en","New Town Iriguchi"
